0.726 0.188 0.044 0.042 0.559 0.186 0.198 0.058 0.158 0.181 0.506 0.155 0.197 0.197 0.211 0.396
0.954 0.027 0.009 0.009 0.723 0.216 0.032 0.028 0.174 0.027 0.341 0.459 0.186 0.206 0.184 0.424
0.109 0.787 0.055 0.050 0.121 0.409 0.404 0.067 0.102 0.109 0.586 0.202 0.199 0.200 0.202 0.399
0.419 0.373 0.101 0.106 0.035 0.315 0.441 0.209 0.031 0.063 0.114 0.792 0.187 0.190 0.190 0.434
0.824 0.152 0.013 0.011 0.089 0.746 0.146 0.019 0.026 0.411 0.495 0.067 0.194 0.202 0.214 0.390
0.878 0.040 0.042 0.040 0.386 0.405 0.136 0.073 0.070 0.333 0.333 0.264 0.199 0.200 0.199 0.402
0.661 0.294 0.022 0.022 0.273 0.606 0.081 0.039 0.045 0.379 0.534 0.042 0.199 0.205 0.208 0.388
0.558 0.149 0.146 0.146 0.197 0.480 0.161 0.161 0.425 0.144 0.287 0.144 0.201 0.200 0.200 0.400
0.375 0.312 0.237 0.075 0.096 0.641 0.171 0.093 0.182 0.270 0.370 0.178 0.197 0.198 0.198 0.408
0.812 0.065 0.061 0.061 0.205 0.534 0.183 0.079 0.192 0.288 0.428 0.092 0.203 0.200 0.200 0.397
0.620 0.125 0.131 0.125 0.290 0.298 0.263 0.149 0.205 0.190 0.415 0.190 0.200 0.200 0.200 0.400
0.618 0.134 0.124 0.124 0.146 0.563 0.145 0.145 0.198 0.207 0.396 0.198 0.200 0.200 0.200 0.400
0.329 0.297 0.279 0.095 0.133 0.620 0.132 0.115 0.099 0.221 0.582 0.099 0.194 0.196 0.222 0.388
0.559 0.317 0.062 0.062 0.364 0.450 0.093 0.093 0.129 0.129 0.506 0.236 0.195 0.195 0.195 0.415
0.152 0.298 0.456 0.094 0.039 0.124 0.489 0.348 0.052 0.101 0.634 0.213 0.193 0.201 0.199 0.407
0.650 0.161 0.095 0.095 0.287 0.443 0.135 0.135 0.146 0.146 0.431 0.277 0.197 0.197 0.197 0.408
0.721 0.080 0.127 0.072 0.140 0.223 0.133 0.503 0.157 0.073 0.181 0.589 0.196 0.190 0.194 0.419
0.647 0.075 0.224 0.054 0.503 0.350 0.091 0.056 0.131 0.153 0.488 0.229 0.197 0.208 0.202 0.393
0.368 0.416 0.143 0.073 0.266 0.452 0.143 0.139 0.112 0.112 0.555 0.221 0.199 0.200 0.200 0.400
0.433 0.340 0.114 0.114 0.228 0.387 0.193 0.193 0.167 0.167 0.500 0.167 0.200 0.200 0.200 0.400
0.456 0.110 0.324 0.110 0.313 0.339 0.179 0.169 0.201 0.200 0.400 0.200 0.200 0.200 0.200 0.400
0.420 0.455 0.062 0.062 0.357 0.409 0.123 0.110 0.103 0.202 0.493 0.202 0.200 0.200 0.201 0.400
0.655 0.094 0.156 0.094 0.271 0.406 0.185 0.138 0.292 0.148 0.420 0.140 0.200 0.200 0.200 0.399
0.520 0.200 0.179 0.101 0.230 0.256 0.157 0.356 0.142 0.140 0.418 0.301 0.198 0.197 0.198 0.407
0.621 0.127 0.126 0.126 0.214 0.393 0.196 0.196 0.143 0.285 0.429 0.143 0.200 0.200 0.200 0.400
0.375 0.250 0.125 0.249 0.199 0.398 0.199 0.204 0.288 0.144 0.288 0.279 0.198 0.198 0.198 0.405
0.300 0.298 0.224 0.179 0.129 0.261 0.377 0.233 0.179 0.179 0.462 0.180 0.200 0.200 0.201 0.400
0.305 0.323 0.222 0.150 0.268 0.388 0.207 0.136 0.333 0.168 0.333 0.166 0.201 0.200 0.200 0.400
0.685 0.105 0.105 0.105 0.267 0.366 0.183 0.183 0.201 0.200 0.399 0.200 0.200 0.200 0.200 0.400
0.315 0.374 0.105 0.206 0.183 0.444 0.183 0.189 0.200 0.201 0.399 0.200 0.200 0.200 0.200 0.400
